depth_nm,total_p_cm3,active_p_cm3,inactive_p_cm3
4.848999999999999773e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.856760864257810226e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.917433166503910229e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.956999999999999886e+02,6.150753115290421094e+13,6.150753115290421094e+13,0.000000000000000000e+00
4.978105163574219887e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.038776855468750000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.057000000000000455e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.099448852539060226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.160120849609379547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.162000000000000455e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.220792846679689774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.268000000000000682e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.281464843750000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.342136840820310226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.363999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.402808837890629547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.463480834960939774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.470000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.524152832031250000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.570000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.584824829101560226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.645496826171879547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.663999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.706168823242189774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.766840820312500000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.775000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.827512817382810226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.877999999999999545e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.888184204101560226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.948856201171879547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
5.990000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.009528808593750000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.070200805664060226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.080000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.130872192382810226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.187000000000000455e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.191544189453129547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.252216186523439774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.307000000000000455e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
